period,factor,observations,pearson_ic,spearman_ic
full,pv_daylight,2510,0.043134621234301423,0.043452019669951686
full,pv_fixed,2510,0.041452322691111564,0.04304455268414761
full,radiation_daylight,2510,0.038120228955371545,0.038540843040939764
full,cloud_daylight,2510,0.02119632693420313,0.02123083771059029
development,pv_daylight,1126,0.03982011023533752,0.025207116040300757
development,pv_fixed,1126,0.03639378490993732,0.021502095644235164
development,radiation_daylight,1126,0.039103594933553226,0.024672837510494827
development,cloud_daylight,1126,0.02565757799312272,0.019194062828845077
validation,pv_daylight,751,0.042635970194988236,0.04582967390996402
validation,pv_fixed,751,0.0380765946592693,0.04655236988979233
validation,radiation_daylight,751,0.025400467536325272,0.023194435787744
validation,cloud_daylight,751,0.025322269546151892,0.023457347649941927
first_look_holdout,pv_daylight,633,0.05056340436230623,0.061855765946452826
first_look_holdout,pv_fixed,633,0.0555855202877286,0.06415160388945243
first_look_holdout,radiation_daylight,633,0.05688696298071463,0.07268221579930426
first_look_holdout,cloud_daylight,633,0.011156083659516357,0.01477929560159596
