calendar_month,trading_days,baseline_log_return,selected_log_return,selected_minus_baseline_log_return
1,205,0.48966894657370147,0.48966894657370147,0.0
2,192,-0.026296978974645127,-0.026296978974645127,0.0
3,219,0.01920619448685107,0.012104540546681487,-0.007101653940169582
4,206,0.0435925666152895,0.1489778804641068,0.10538531384881729
5,213,-0.05782998033204674,0.1296833791517283,0.18751335948377507
6,209,0.045176679741132764,0.053858033021726835,0.008681353280594072
7,216,-0.005757849054727296,-0.005757849054727296,0.0
8,223,0.07266600873091111,0.07266600873091111,0.0
9,205,0.17962522812100665,0.18868639552517993,0.009061167404173287
10,218,0.10798463641802968,0.12711766612343786,0.019133029705408186
11,199,0.029331494488664178,0.0464360662957899,0.01710457180712572
12,210,0.05496140085014316,0.05496140085014316,0.0
